,Compound Score,Date,Negative Score,Neutral Score,News Organization,Positive Score,Tweets Ago
239,0.7096,Wed Aug 01 20:15:51 +0000 2018,0.0,0.809,@CNN,0.191,39
240,0.0,Wed Aug 01 18:10:06 +0000 2018,0.0,1.0,@CNN,0.0,40
241,0.4019,Wed Aug 01 18:04:17 +0000 2018,0.105,0.675,@CNN,0.219,41
242,0.5423,Wed Aug 01 18:00:01 +0000 2018,0.0,0.791,@CNN,0.209,42
243,0.0,Wed Aug 01 17:50:00 +0000 2018,0.0,1.0,@CNN,0.0,43
244,0.0,Wed Aug 01 17:44:56 +0000 2018,0.0,1.0,@CNN,0.0,44
245,0.0,Wed Aug 01 17:40:00 +0000 2018,0.0,1.0,@CNN,0.0,45
246,0.0,Wed Aug 01 17:34:02 +0000 2018,0.0,1.0,@CNN,0.0,46
247,0.0,Wed Aug 01 17:32:55 +0000 2018,0.0,1.0,@CNN,0.0,47
248,-0.7003,Wed Aug 01 17:30:08 +0000 2018,0.309,0.691,@CNN,0.0,48
249,-0.3182,Wed Aug 01 17:20:44 +0000 2018,0.119,0.881,@CNN,0.0,49
250,0.0,Wed Aug 01 17:10:06 +0000 2018,0.0,1.0,@CNN,0.0,50
251,0.4939,Wed Aug 01 17:05:01 +0000 2018,0.0,0.849,@CNN,0.151,51
252,0.0,Wed Aug 01 17:00:18 +0000 2018,0.0,1.0,@CNN,0.0,52
253,-0.25,Wed Aug 01 16:50:01 +0000 2018,0.091,0.909,@CNN,0.0,53
254,0.0,Wed Aug 01 16:44:03 +0000 2018,0.0,1.0,@CNN,0.0,54
255,0.6249,Wed Aug 01 16:42:05 +0000 2018,0.0,0.837,@CNN,0.163,55
256,0.0,Wed Aug 01 16:30:06 +0000 2018,0.0,1.0,@CNN,0.0,56
257,0.0,Wed Aug 01 16:20:12 +0000 2018,0.0,1.0,@CNN,0.0,57
258,0.0,Wed Aug 01 16:10:07 +0000 2018,0.0,1.0,@CNN,0.0,58
259,0.0,Wed Aug 01 16:00:09 +0000 2018,0.0,1.0,@CNN,0.0,59
260,0.0,Wed Aug 01 08:47:07 +0000 2018,0.0,1.0,@CNN,0.0,60
261,0.4019,Wed Aug 01 08:28:04 +0000 2018,0.0,0.886,@CNN,0.114,61
262,-0.5106,Wed Aug 01 08:21:06 +0000 2018,0.155,0.845,@CNN,0.0,62
263,0.6369,Wed Aug 01 08:14:05 +0000 2018,0.0,0.792,@CNN,0.208,63
264,0.0,Wed Aug 01 08:07:04 +0000 2018,0.0,1.0,@CNN,0.0,64
265,0.0,Wed Aug 01 07:59:05 +0000 2018,0.0,1.0,@CNN,0.0,65
266,-0.2732,Wed Aug 01 07:52:07 +0000 2018,0.091,0.909,@CNN,0.0,66
267,0.0,Wed Aug 01 07:45:06 +0000 2018,0.0,1.0,@CNN,0.0,67
268,0.0,Wed Aug 01 07:38:06 +0000 2018,0.0,1.0,@CNN,0.0,68
269,0.0258,Wed Aug 01 07:31:04 +0000 2018,0.0,0.936,@CNN,0.064,69
270,0.0,Wed Aug 01 07:24:02 +0000 2018,0.0,1.0,@CNN,0.0,70
271,0.0,Wed Aug 01 07:17:06 +0000 2018,0.0,1.0,@CNN,0.0,71
272,0.872,Wed Aug 01 07:14:31 +0000 2018,0.0,0.68,@CNN,0.32,72
273,0.0,Wed Aug 01 07:10:04 +0000 2018,0.0,1.0,@CNN,0.0,73
274,0.5267,Wed Aug 01 07:03:02 +0000 2018,0.0,0.764,@CNN,0.236,74
275,0.4019,Wed Aug 01 06:54:09 +0000 2018,0.0,0.886,@CNN,0.114,75
